ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9981910,HY171308,03/04/2015 09:25:00 AM,078XX S COLFAX AVE,0460,BATTERY,SIMPLE,APARTMENT,False,False,421,4.0,7.0,43.0,08B,1194880.0,1853485.0,2015,02/10/2018 03:50:01 PM,41.752879083,-87.561406996,"(41.752879083, -87.561406996)"
10641516,HZ393083,08/15/2016 02:20:00 PM,007XX W VERMONT ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,523,5.0,34.0,53.0,07,1173534.0,1820274.0,2016,02/10/2018 03:50:01 PM,41.662242137,-87.64061,"(41.662242137, -87.64061)"
4337865,HL639677,09/27/2005 09:00:00 PM,077XX S YATES BLVD,1570,SEX OFFENSE,PUBLIC INDECENCY,APARTMENT,False,False,421,4.0,7.0,43.0,17,1193544.0,1854037.0,2005,02/28/2018 03:56:25 PM,41.754426604,-87.56628477,"(41.754426604, -87.56628477)"
6884359,HR290111,04/24/2009 09:00:00 PM,041XX W 115TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,"SCHOOL, PRIVATE, GROUNDS",False,False,2211,22.0,19.0,74.0,14,1151028.0,1828005.0,2009,02/28/2018 03:56:25 PM,41.683924495,-87.722770025,"(41.683924495, -87.722770025)"
7485953,HS289471,05/03/2010 08:00:00 AM,072XX N ROGERS AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,2424,24.0,49.0,1.0,05,1161346.0,1947999.0,2010,02/10/2018 03:50:01 PM,42.01299365,-87.681665455,"(42.01299365, -87.681665455)"
9923314,HY112492,01/12/2015 04:04:00 PM,002XX S KILPATRICK AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,True,False,1113,11.0,28.0,25.0,26,1145092.0,1898581.0,2015,02/10/2018 03:50:01 PM,41.877710268,-87.74272569600001,"(41.877710268, -87.742725696)"
8322123,HT555803,10/23/2011 01:15:00 PM,047XX W HARRISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1131,11.0,24.0,25.0,08B,1144785.0,1896929.0,2011,02/04/2016 06:33:39 AM,41.873182769,-87.743894591,"(41.873182769, -87.743894591)"
4903183,HM394660,06/05/2006 10:40:00 AM,045XX S LAKE PARK AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,RESIDENCE PORCH/HALLWAY,True,False,2123,2.0,4.0,39.0,26,1185431.0,1875005.0,2006,02/28/2018 03:56:25 PM,41.812159207,-87.595356455,"(41.812159207, -87.595356455)"
3600361,HK611477,09/08/2004 10:18:56 PM,111XX S BISHOP ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2234,22.0,34.0,75.0,18,1168539.0,1830976.0,2004,02/28/2018 03:56:25 PM,41.691718986,-87.658582293,"(41.691718986, -87.658582293)"
6648260,HP720049,12/06/2008 04:57:00 PM,013XX S CANAL ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,131,1.0,2.0,28.0,06,1173336.0,1893976.0,2008,02/28/2018 03:56:25 PM,41.864493678,-87.639158,"(41.864493678, -87.639158)"
7732571,HS481746,08/25/2010 10:00:00 PM,133XX S PRAIRIE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,533,5.0,9.0,54.0,05,1180389.0,1816924.0,2010,02/10/2018 03:50:01 PM,41.652895283,-87.61562666799999,"(41.652895283, -87.615626668)"
8286373,HT517513,09/28/2011 12:01:00 AM,048XX N ALBANY AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,1713,17.0,33.0,14.0,03,1154830.0,1932179.0,2011,02/10/2018 03:50:01 PM,41.969716431,-87.706067615,"(41.969716431, -87.706067615)"
8858651,HV528049,10/21/2012 09:28:00 AM,109XX S MICHIGAN AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,True,False,513,5.0,9.0,49.0,18,1178851.0,1832519.0,2012,02/10/2018 03:50:01 PM,41.695725334,-87.620782205,"(41.695725334, -87.620782205)"
