ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5967551,HN761387,12/15/2007 04:00:00 PM,042XX S WALLACE ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,True,True,935,9.0,11.0,61.0,26,1173001.0,1876800.0,2007,02/28/2018 03:56:25 PM,41.817368724,-87.64089610299999,"(41.817368724, -87.640896103)"
2615640,HJ216066,03/03/2003 03:45:00 PM,057XX S JUSTINE ST,0560,ASSAULT,SIMPLE,APARTMENT,False,False,713,7.0,16.0,67.0,08A,1166988.0,1866694.0,2003,02/28/2018 03:56:25 PM,41.789767552,-87.663242465,"(41.789767552, -87.663242465)"
2458781,HH782348,11/15/2002 11:58:41 PM,059XX S STATE ST,0860,THEFT,RETAIL THEFT,TAVERN/LIQUOR STORE,False,False,233,2.0,20.0,40.0,06,1177289.0,1865734.0,2002,02/28/2018 03:56:25 PM,41.78690669,-87.625500912,"(41.78690669, -87.625500912)"
6387277,HP472543,09/01/2007 12:01:00 AM,092XX S BLACKSTONE AVE,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),False,False,413,4.0,8.0,48.0,06,1187727.0,1844091.0,2007,02/28/2018 03:56:25 PM,41.727274127,-87.58791764200001,"(41.727274127, -87.587917642)"
6673617,HP741607,12/18/2008 11:45:00 PM,031XX N AUSTIN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,False,2511,25.0,36.0,19.0,14,1135834.0,1920452.0,2008,02/28/2018 03:56:25 PM,41.937896763000005,-87.77619763700001,"(41.937896763, -87.776197637)"
7013592,HR420963,07/10/2009 05:00:00 AM,002XX N LAPORTE AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,False,False,1532,15.0,28.0,25.0,03,1143336.0,1901163.0,2009,02/28/2018 03:56:25 PM,41.884828569,-87.749108819,"(41.884828569, -87.749108819)"
9688497,HX338717,07/09/2014 11:42:00 PM,071XX S SEELEY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,735,7.0,17.0,67.0,18,1163930.0,1857209.0,2014,02/10/2018 03:50:01 PM,41.763804302,-87.674721631,"(41.763804302, -87.674721631)"
8223167,HT457064,08/20/2011 10:39:00 AM,080XX S MARSHFIELD AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,True,False,611,6.0,21.0,71.0,26,1166741.0,1851359.0,2011,02/10/2018 03:50:01 PM,41.74769157,-87.664585338,"(41.74769157, -87.664585338)"
3313733,HK350409,05/07/2004 09:00:00 PM,023XX W ARMITAGE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,False,False,1432,14.0,32.0,22.0,14,1160581.0,1913231.0,2004,02/10/2018 03:50:01 PM,41.917604504,-87.685447634,"(41.917604504, -87.685447634)"
3222908,HK175796,02/10/2004 03:31:31 PM,018XX W 59TH ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,OTHER,True,False,714,7.0,15.0,67.0,18,1165124.0,1865553.0,2004,02/28/2018 03:56:25 PM,41.786676168,-87.670109487,"(41.786676168, -87.670109487)"
